FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
36081063700,NY,80.6,408.91,0.68,28.19,16.38,4.7,13547.45,2.8,26.3
36081063800,NY,84.9,219.94,0.48,34.49,14.9,9.55,13310.29,7.55,27.5
36081063900,NY,80.8,0.0,0.57,45.02,15.52,2.56,32506.65,3.9,26.8
36081064101,NY,82.0,431.84,0.7,32.08,13.33,6.43,75437.14,7.17,23.9
36081064102,NY,,221.28,0.66,22.43,15.67,,0.0,,
36081064500,NY,83.7,322.1,0.89,28.03,16.03,1.28,17016.06,8.76,23.7
36081064600,NY,81.9,477.68,0.09,36.58,12.05,5.67,21632.41,6.37,24.6
36081065000,NY,79.3,530.8,0.43,38.22,12.23,5.28,16686.25,4.54,28.5
36081065400,NY,79.6,199.98,0.57,34.3,16.26,,21729.96,,
36081065501,NY,,620.94,0.0,22.53,10.67,,0.0,,
36081065600,NY,85.8,254.09,0.5,25.81,14.4,8.8,18033.57,8.55,25.0
36081065702,NY,82.5,144.84,0.52,24.12,14.17,7.06,25701.1,3.63,25.0
36081065703,NY,80.5,228.26,0.7,27.69,15.7,2.81,28133.27,3.67,24.9
36081065900,NY,81.2,94.52,0.28,32.12,14.83,2.94,25465.3,4.7,23.6
36081066000,NY,83.2,221.82,0.11,31.37,13.29,7.66,21339.96,11.78,25.8
36081066100,NY,82.9,555.22,0.44,30.51,12.17,2.15,30654.99,2.77,21.6
36081066300,NY,82.7,139.77,0.47,35.75,15.72,,27199.53,,
36081066400,NY,82.8,254.89,0.27,24.45,13.68,,31885.51,,
36081066501,NY,81.4,249.57,0.55,26.02,14.32,2.5,32070.85,1.83,26.6
36081066701,NY,78.4,192.73,0.43,30.49,13.6,1.47,27864.88,2.57,31.6
36081066900,NY,82.6,225.04,0.62,29.26,14.36,7.19,28440.79,1.63,24.1
36081067100,NY,84.5,78.63,0.7,30.27,15.92,2.69,27289.93,4.55,23.6
36081067700,NY,82.6,156.89,0.59,30.61,15.66,3.84,26477.48,2.54,23.5
36081067900,NY,80.4,291.48,0.36,29.63,12.25,9.49,45209.95,4.21,32.7
36081068000,NY,79.6,344.78,0.34,34.71,13.9,4.78,19154.75,5.25,27.3
36081068200,NY,79.9,295.66,0.44,31.09,15.06,1.95,12109.53,11.53,28.4
36081068300,NY,88.4,142.82,0.56,43.85,15.14,8.93,45156.9,4.71,30.1
36081068700,NY,88.2,256.49,0.67,36.41,13.06,6.62,42871.82,7.35,25.3
36081069000,NY,79.7,322.5,0.24,28.88,14.39,4.73,32007.82,4.9,28.2
36081069300,NY,83.2,120.06,0.45,33.6,15.17,6.63,56563.96,7.1,27.3
36081069400,NY,81.1,317.69,0.4,23.77,12.55,4.46,17793.91,5.66,29.3
36081069500,NY,80.4,70.1,0.79,29.46,17.54,11.25,29359.49,2.81,28.5
36081069701,NY,81.3,463.48,0.71,28.8,12.15,3.57,87197.75,3.6,24.6
36081069702,NY,88.3,285.91,0.68,31.48,15.94,4.73,25282.69,11.41,28.6
36081070300,NY,84.2,274.59,0.63,28.52,15.16,2.66,22714.39,0.38,21.9
36081070700,NY,86.3,234.64,0.61,27.89,14.7,1.39,31036.33,3.89,21.5
36081070900,NY,84.3,175.14,0.7,30.29,15.71,4.95,34802.63,4.32,21.9
36081071100,NY,84.5,198.05,0.54,27.4,14.3,1.49,41690.89,2.58,19.4
36081071303,NY,82.3,237.35,0.74,40.56,13.93,2.65,101447.92,2.89,19.1
36081071304,NY,83.9,268.12,0.53,39.3,13.81,7.04,103602.2,5.3,25.4
36081071305,NY,83.3,246.98,0.53,48.93,16.02,5.13,106975.31,1.48,21.3
36081071306,NY,83.6,352.22,0.69,27.49,11.26,12.14,98294.86,5.94,22.4
36081071600,NY,,488.17,0.54,10.38,11.83,,0.0,,
36081071701,NY,82.9,159.5,0.54,30.04,12.67,3.08,70368.34,2.72,27.4
36081071702,NY,,232.56,0.76,24.17,14.7,0.81,50640.44,5.2,25.9
36081071900,NY,86.1,141.77,0.61,38.19,14.71,16.06,54233.48,8.63,31.8
36081072100,NY,83.8,334.01,0.5,35.23,13.99,3.2,81336.76,0.52,26.8
36081072300,NY,,313.31,0.57,26.51,14.55,4.07,12711.47,9.35,20.6
36081072900,NY,81.7,101.4,0.5,31.17,16.24,0.0,18262.04,0.65,25.5
36081073100,NY,83.2,208.06,0.73,27.09,16.79,0.28,24243.24,4.72,21.9
36081073700,NY,86.5,297.62,0.75,45.04,18.29,0.74,26452.17,7.58,19.7
36081073900,NY,84.2,107.35,0.5,38.45,14.3,1.08,63279.44,5.82,19.4
36081074100,NY,84.4,121.34,0.34,27.62,13.69,4.32,44881.62,6.19,24.1
36081074300,NY,85.1,171.69,0.75,29.85,14.65,6.84,53265.05,5.29,23.5
36081074500,NY,82.1,246.33,0.42,51.98,14.82,4.25,58646.79,4.6,30.2
36081074700,NY,80.7,472.44,0.38,30.16,13.68,7.97,28247.98,8.24,27.8
36081074900,NY,88.5,567.05,0.65,32.17,15.41,1.53,10827.08,1.59,19.0
36081075701,NY,88.0,246.35,0.64,37.13,15.82,6.23,63489.41,1.68,20.1
36081075702,NY,81.6,252.27,0.58,35.91,13.72,0.72,39014.38,3.88,23.3
36081076901,NY,83.7,248.98,0.85,34.51,15.76,3.14,70277.32,8.8,20.0
36081076902,NY,83.6,143.5,0.63,59.53,17.33,1.29,31850.41,1.03,18.2
36081077300,NY,86.5,186.57,0.38,45.42,14.33,1.7,20157.93,6.45,19.2
36081077500,NY,80.2,195.61,0.7,23.52,16.7,7.21,24275.95,1.31,21.2
36081077902,NY,82.2,357.15,0.63,29.43,14.03,5.23,23541.39,2.23,21.6
36081077903,NY,85.8,287.98,0.45,32.57,14.2,3.52,34879.52,4.3,28.0
36081077904,NY,82.0,219.94,0.59,32.05,14.04,5.78,41240.95,2.37,27.4
36081077905,NY,86.0,198.66,0.73,31.28,14.48,4.34,27332.98,10.23,24.8
36081077906,NY,83.2,323.75,0.71,25.64,15.06,5.39,31304.74,5.93,26.0
36081077907,NY,80.1,266.09,0.68,30.04,14.76,5.0,43502.11,11.04,26.3
36081077908,NY,79.0,368.59,0.4,19.78,12.75,4.19,41298.33,10.98,32.1
36081078800,NY,77.6,202.76,0.39,30.4,14.65,5.64,25774.24,5.21,34.0
36081079000,NY,77.2,181.47,0.55,34.47,15.32,6.82,26656.03,6.34,30.1
36081079200,NY,83.1,319.52,0.29,33.72,12.92,7.52,18936.1,9.58,30.2
36081079300,NY,,755.05,0.0,18.96,8.67,,0.0,,
36081079701,NY,,170.8,0.7,10.54,12.84,10.38,145307.57,5.0,37.4
36081079702,NY,83.6,361.74,0.71,28.88,16.3,20.66,32981.63,3.71,44.2
36081079900,NY,83.3,214.6,0.42,28.42,13.57,10.43,28731.84,9.11,45.3
36081080301,NY,86.4,211.22,0.58,38.63,13.32,15.49,30900.62,1.47,37.8
36081080302,NY,87.1,280.95,0.4,42.89,14.21,8.46,24292.14,3.92,30.4
36081080900,NY,88.6,278.09,0.55,23.58,13.68,4.87,20978.73,7.69,28.0
36081081400,NY,76.7,418.4,0.55,36.8,14.08,5.6,32890.14,8.49,31.1
36081081800,NY,80.3,132.55,0.73,27.49,16.9,14.64,28197.82,8.18,30.9
36081083700,NY,86.1,273.23,0.57,27.48,14.22,11.23,16300.6,5.45,36.7
36081083800,NY,83.2,101.15,0.5,28.97,14.65,12.39,30522.61,8.08,30.1
36081084000,NY,79.9,242.13,0.56,28.23,15.15,10.92,32834.89,15.49,30.1
36081084500,NY,,250.31,0.72,17.83,13.25,12.78,68471.87,10.39,40.5
36081084601,NY,86.0,344.58,0.59,29.4,13.33,3.93,21890.79,11.28,29.9
36081084602,NY,77.7,202.51,0.53,47.3,14.83,6.74,4610.51,15.57,31.3
36081084900,NY,74.9,298.85,0.57,21.4,13.15,28.29,75851.29,11.97,45.37
36081085300,NY,85.4,230.75,0.75,17.54,16.18,10.81,70843.72,9.26,37.3
36081085500,NY,84.1,179.95,0.57,26.72,14.31,13.47,124667.12,6.31,43.2
36081085700,NY,82.6,221.94,0.76,22.87,14.54,15.82,104052.16,6.39,39.7
36081085900,NY,85.7,237.12,0.76,31.76,15.65,14.48,97954.64,9.19,35.2
36081086100,NY,79.7,222.79,0.57,16.32,14.96,13.88,38626.66,5.32,44.2
36081086300,NY,87.3,287.24,0.5,16.63,9.82,20.51,121225.46,1.28,44.4
36081086400,NY,77.7,319.81,0.36,15.62,12.02,16.78,6267.49,7.73,32.8
36081086500,NY,81.4,297.11,0.7,21.18,14.98,22.65,77395.89,5.18,37.7
36081086900,NY,86.3,185.41,0.82,32.82,18.33,21.16,7443.12,5.64,43.8
36081087100,NY,79.1,201.83,0.7,21.82,16.13,7.72,27895.79,3.94,33.9
36081088400,NY,,206.84,0.45,29.54,13.46,3.94,15389.47,5.01,28.1
36081088901,NY,81.3,206.36,0.58,27.91,15.34,3.73,41803.77,2.49,40.31
36081089200,NY,83.6,299.15,0.63,27.29,14.53,,12843.74,,
36081090700,NY,79.6,277.61,0.56,15.61,13.33,13.76,1806.04,5.31,37.6
36081091601,NY,78.7,,0.43,26.7,8.51,0.35,5417.07,3.42,21.5
36081091602,NY,,,0.0,5.06,2.16,,0.0,,
36081091800,NY,,167.64,0.26,18.2,12.67,0.0,34.49,,
36081091900,NY,78.5,158.26,0.57,27.55,15.79,13.34,32095.11,5.79,37.2
36081092200,NY,85.6,170.09,0.45,32.74,14.2,3.64,8881.17,3.62,17.4
36081092500,NY,81.6,78.86,0.58,33.05,16.33,6.36,30026.2,12.7,35.1
36081092800,NY,,278.55,0.41,27.95,12.98,0.91,11895.26,10.31,18.4
36081092900,NY,79.5,181.18,0.43,24.62,14.6,6.22,21495.74,15.55,27.0
36081093401,NY,83.7,171.38,0.6,26.36,14.18,4.75,19701.74,2.34,20.6
36081093402,NY,84.4,245.43,0.65,26.99,14.17,2.85,26933.73,6.57,28.0
36081093800,NY,72.1,98.29,0.6,24.61,13.95,3.87,16867.42,10.99,33.3
36081093900,NY,86.8,164.99,0.5,26.9,14.56,7.71,25943.65,5.96,30.3
36081094201,NY,77.7,160.93,0.78,33.74,16.33,6.04,26852.81,6.41,32.5
36081094202,NY,,167.56,0.64,25.3,15.9,5.02,21386.87,14.32,34.3
36081094203,NY,75.7,308.43,0.51,28.15,13.3,7.0,31492.92,5.28,26.9
36081094500,NY,79.7,361.28,0.81,25.64,16.92,9.67,6855.92,4.2,34.0
36081094700,NY,85.7,200.06,0.55,30.25,15.24,4.83,22998.6,4.77,34.5
36081095400,NY,72.4,311.93,0.32,28.0,13.71,4.1,22255.02,6.06,31.6
36081096400,NY,76.7,430.1,0.47,23.86,13.7,4.42,22255.1,3.99,28.0
36081097202,NY,75.2,344.67,0.46,10.95,11.0,4.71,14983.67,32.29,49.6
36081097203,NY,74.3,279.68,0.19,11.95,10.09,,38891.33,,
36081097204,NY,75.6,281.65,0.31,29.94,13.55,6.65,27881.18,5.63,33.9
36081097300,NY,81.4,565.74,0.41,31.38,13.73,2.12,11315.75,4.53,25.5
36081098100,NY,82.3,168.65,0.61,22.79,15.99,3.66,9458.66,7.89,24.3
36081098700,NY,81.9,241.39,0.69,22.36,17.41,4.55,10231.08,5.03,25.7
36081099100,NY,82.3,231.69,0.44,23.35,13.15,2.57,16930.82,4.15,23.2
36081099200,NY,78.1,298.84,0.48,31.42,14.37,11.58,20120.86,10.98,42.0
36081099701,NY,81.6,202.87,0.58,21.96,13.97,1.71,7448.04,4.15,23.3
36081099703,NY,84.8,237.58,0.63,37.35,14.92,2.6,17962.63,5.36,22.3
36081099704,NY,83.7,271.7,0.53,20.33,13.2,3.58,28033.59,5.6,25.8
36081099705,NY,81.8,457.32,0.89,39.7,14.17,10.86,14842.61,5.99,26.4
36081099801,NY,77.0,253.49,0.29,30.26,14.26,9.19,51770.61,10.79,34.5
36081099802,NY,78.2,228.46,0.26,14.19,9.15,8.15,36415.42,10.14,34.6
36081099900,NY,,488.17,0.08,20.27,11.67,,0.0,,
36081100801,NY,81.2,1197.62,0.32,17.88,8.71,6.0,12785.84,3.35,22.9
36081100802,NY,79.2,541.48,0.45,27.37,13.39,7.43,24536.93,11.86,27.62
36081101001,NY,76.8,260.44,0.5,23.75,13.6,6.31,36179.37,8.17,35.43
36081101002,NY,79.0,339.14,0.5,24.88,13.85,4.9,28648.35,0.0,24.8
36081101700,NY,82.3,251.48,0.53,29.25,15.1,0.82,18034.32,7.6,26.4
36081102900,NY,84.8,431.24,0.62,35.56,15.41,2.06,19256.91,5.33,26.2
36081103201,NY,75.6,422.6,0.46,22.88,12.91,12.02,48423.59,16.16,38.0
36081103202,NY,80.3,290.43,0.58,24.89,14.46,18.4,29512.87,8.66,30.6
36081103300,NY,82.6,276.74,0.56,27.52,14.26,5.44,19889.19,9.65,28.7
36081103900,NY,83.4,246.28,0.48,32.87,14.64,5.83,21156.76,17.75,27.5
36081104700,NY,82.6,178.89,0.59,24.93,15.11,6.98,21601.64,2.32,34.0
36081105900,NY,84.3,297.73,0.52,29.78,15.57,1.77,16235.77,5.81,26.3
36081107201,NY,75.8,299.07,0.59,12.65,13.33,11.25,4294.76,5.08,25.5
36081107202,NY,,,0.0,1.7,1.5,,0.0,,
36081108500,NY,85.0,237.92,0.61,32.46,15.68,3.82,15231.9,5.77,26.6
36081109300,NY,,59.64,0.57,30.33,15.62,6.47,7231.2,1.54,27.1
36081109700,NY,83.9,244.73,0.51,34.53,15.9,3.21,10193.64,0.63,23.5
36081109900,NY,82.2,272.92,0.53,33.14,15.6,2.76,22514.74,10.45,24.4
36081111300,NY,82.9,622.79,0.44,26.46,13.03,2.2,8862.57,3.36,24.4
36081112300,NY,82.4,202.93,0.87,29.32,19.17,5.15,20718.2,1.99,23.3
36081112900,NY,81.9,328.49,0.64,37.76,15.69,8.13,17766.73,4.89,28.1
36081113300,NY,88.2,367.1,0.6,33.37,14.47,0.54,13295.39,3.35,19.1
36081113900,NY,87.6,193.7,0.73,35.27,17.62,4.0,27346.87,5.52,31.7
36081114100,NY,82.5,236.87,0.63,30.0,16.75,1.02,14166.87,3.76,22.9
36081114700,NY,86.7,377.08,0.5,29.28,14.04,12.73,17222.47,13.18,25.2
36081115100,NY,87.8,382.22,0.57,34.28,15.0,0.95,8705.47,4.82,27.0
36081115500,NY,80.6,281.17,0.66,32.64,16.1,16.46,29277.92,2.47,30.6
36081115700,NY,88.5,34.15,0.55,30.78,16.12,12.86,26120.34,10.45,30.6
36081115900,NY,81.5,284.68,0.63,26.98,14.78,10.76,35799.88,7.48,33.9
36081116100,NY,80.5,176.99,0.48,21.22,13.76,12.38,57830.79,8.25,40.2
36081116300,NY,82.3,234.44,0.62,24.29,13.32,18.34,88157.7,5.5,42.22
36081116700,NY,79.1,118.02,0.86,28.92,19.67,18.54,27083.48,5.58,36.1
36081117100,NY,81.7,147.77,0.84,31.11,18.81,15.13,16105.25,8.24,31.1
36081117500,NY,84.8,196.82,0.77,28.04,16.53,6.02,20803.04,11.49,28.1
36081118100,NY,80.3,193.86,0.7,31.1,17.48,9.9,25989.7,1.73,29.2
36081118500,NY,83.2,237.96,0.71,30.32,15.97,11.97,32800.51,13.22,33.1
36081118700,NY,77.7,223.57,0.64,25.36,14.89,9.96,34305.39,8.45,35.7
36081118900,NY,85.1,162.78,0.58,31.84,15.63,14.65,22885.47,6.61,28.6
36081119100,NY,79.3,230.18,0.73,28.3,16.18,14.08,35229.6,7.97,38.0
36081119300,NY,82.3,350.39,0.78,21.53,13.92,10.5,25471.19,0.0,34.3
36081119500,NY,82.4,202.51,0.45,27.08,13.5,16.72,18246.29,7.08,28.6
36081119900,NY,83.0,107.29,0.66,27.18,15.33,9.2,21536.41,12.48,37.5
36081120100,NY,78.8,189.1,0.1,30.56,13.17,22.73,22736.91,4.93,38.2
36081120300,NY,,389.09,0.49,30.59,14.03,6.28,23519.5,5.36,41.0
36081120500,NY,85.8,0.0,0.85,27.81,17.83,8.73,35308.59,4.43,42.1
36081120700,NY,82.9,313.95,0.67,31.66,15.75,,20362.08,,
36081121100,NY,,862.34,0.0,16.55,11.0,,0.0,,
36081121500,NY,85.0,300.82,0.54,29.72,14.42,9.93,18090.5,6.34,31.9
36081122300,NY,85.4,386.04,0.5,37.58,13.96,3.89,17853.34,6.32,28.3
36081122701,NY,84.9,328.45,0.43,23.07,11.78,4.38,47674.63,12.11,27.07
36081122702,NY,76.0,321.53,0.29,22.3,11.39,7.79,39235.09,4.6,44.0
36081124100,NY,82.6,226.6,0.65,34.17,15.8,8.19,20439.18,6.87,25.7
36081124700,NY,85.3,287.71,0.44,29.25,12.76,4.15,19644.82,1.23,24.8
36081125700,NY,77.8,247.7,0.5,31.76,15.58,8.11,25057.4,5.37,29.8
36081126500,NY,,309.91,0.52,33.55,16.31,7.85,25797.59,2.92,24.5
36081126700,NY,81.2,499.49,0.21,24.59,10.5,3.74,15521.29,18.44,24.7
36081127700,NY,85.7,322.12,0.7,27.39,15.43,2.85,7747.31,3.09,17.6
36081128300,NY,,450.62,0.29,22.65,8.67,,0.0,,
36081129102,NY,83.8,314.23,0.61,32.15,14.81,6.56,10032.32,4.82,21.8
36081129103,NY,86.7,334.78,0.5,18.08,11.44,1.96,25101.37,5.31,27.1
36081129104,NY,80.3,382.82,0.48,23.04,11.66,6.2,16042.48,5.23,24.4
36081130100,NY,81.7,183.28,0.58,32.18,14.74,0.64,14449.41,5.5,26.9
36081133300,NY,83.7,220.4,0.64,33.52,13.77,5.9,14831.3,4.73,26.8
36081133900,NY,82.6,307.12,0.66,34.17,14.67,9.87,15319.34,4.04,22.4
36081134100,NY,81.2,257.47,0.74,34.67,16.22,5.58,15977.42,1.64,29.6
36081134700,NY,80.7,403.26,0.6,24.0,15.33,4.3,25642.65,3.8,26.73
36081136700,NY,83.7,248.25,0.63,21.63,14.93,0.86,21540.27,2.3,23.6
36081137700,NY,84.8,406.34,0.58,24.84,13.23,11.53,26947.19,4.97,24.5
36081138501,NY,88.6,322.82,0.42,27.9,13.74,5.08,11390.93,5.52,26.9
36081138502,NY,,450.62,0.47,21.48,12.67,0.94,119.89,60.0,27.7
36081139900,NY,83.0,269.28,0.69,38.88,15.49,6.38,11150.71,7.45,24.8
36081140300,NY,86.8,416.7,0.56,39.89,13.22,10.89,17788.93,2.86,30.4
36081140901,NY,81.5,297.73,0.65,37.91,15.0,11.93,12235.11,0.0,27.3
36081140902,NY,82.9,267.1,0.58,37.04,16.43,4.06,11869.43,8.81,31.6
36081141700,NY,86.9,336.59,0.39,32.5,14.12,2.97,14156.29,5.84,33.3
36081142900,NY,86.0,273.75,0.68,29.91,15.94,5.87,19973.89,6.11,30.1
36081143500,NY,81.0,481.99,0.5,32.07,14.88,1.76,17231.83,6.11,27.3
36081144100,NY,83.2,130.64,0.56,29.35,15.1,4.32,22222.03,4.52,26.9
36081144700,NY,83.1,248.92,0.63,29.51,16.8,12.06,22619.24,5.48,32.5
36081145101,NY,80.3,376.85,0.84,30.47,17.83,6.45,12109.28,4.12,33.0
36081145102,NY,85.3,295.92,0.64,40.02,15.93,4.22,20167.1,0.93,35.6
36081145900,NY,82.4,217.66,0.69,29.61,16.56,8.69,19286.75,3.4,29.4
36081146300,NY,,263.94,0.59,36.19,16.64,12.01,23072.36,5.85,29.8
36081146700,NY,78.7,313.8,0.73,35.91,17.2,2.08,20708.39,1.77,22.0
36081147100,NY,83.3,100.75,0.37,26.1,15.52,4.72,19904.05,8.72,23.1
36081147900,NY,84.3,356.17,0.83,23.16,16.48,7.65,12364.95,7.67,23.7
36081148300,NY,81.7,734.09,0.52,24.89,13.58,3.08,5868.63,3.52,22.8
36081150701,NY,84.2,484.9,0.61,29.69,15.66,2.14,9370.6,10.34,21.5
36081150702,NY,82.9,321.56,0.72,30.23,16.8,1.37,9356.41,3.15,27.3
36081152901,NY,88.3,644.05,0.75,18.39,13.28,5.45,10904.07,4.16,27.1
36081152902,NY,84.0,395.0,0.5,25.5,12.92,1.99,15632.89,5.73,19.7
36081155101,NY,,213.24,0.58,7.61,11.17,0.0,11855.73,0.0,38.4
36081155102,NY,83.7,316.13,0.32,19.72,11.93,2.13,14782.04,4.75,24.19
36081156700,NY,79.6,654.47,0.24,17.52,9.67,12.7,3050.48,13.18,44.6
36081157101,NY,85.3,363.64,0.53,32.32,14.45,7.43,17966.86,3.76,27.4
36081157102,NY,80.9,514.84,0.6,36.01,13.57,3.99,17034.98,3.68,29.9
36081157901,NY,82.8,521.03,0.59,29.76,14.13,1.9,15775.96,4.52,30.1
36081157902,NY,81.2,210.39,0.49,30.64,16.03,2.73,14631.02,6.41,29.8
36081157903,NY,82.5,274.12,0.59,31.11,15.7,3.48,16246.04,0.63,26.2
36081161700,NY,85.6,338.23,0.66,34.09,16.2,1.63,18131.58,6.75,23.5
36081162100,NY,85.5,263.87,0.47,31.69,14.28,6.71,23252.02,6.52,28.0
36081990100,NY,,,0.0,0.0,1.0,,0.0,,
36085000300,NY,75.9,180.02,0.72,25.82,16.52,7.79,14786.76,4.95,29.6
36085000600,NY,80.0,238.92,0.73,25.3,17.07,7.52,10480.07,11.61,32.7
36085000700,NY,77.9,176.17,0.38,29.99,15.05,5.93,22476.05,8.97,39.0
36085000800,NY,82.1,297.43,0.63,27.7,15.67,2.22,17492.17,5.81,29.0
36085000900,NY,,315.42,0.34,27.41,13.36,4.08,21334.06,7.23,29.5
36085001100,NY,75.6,337.51,0.48,29.77,14.34,6.64,30951.75,13.86,36.6
36085001700,NY,,166.68,0.5,23.41,14.23,8.74,14024.64,7.8,28.4
36085001800,NY,,199.83,0.27,21.19,10.17,2.78,1693.15,5.45,17.2
36085002001,NY,79.7,496.38,0.36,35.06,12.01,2.86,14117.18,12.71,23.6
36085002002,NY,83.2,267.64,0.5,35.01,14.86,6.12,10262.64,5.16,26.4
36085002100,NY,74.7,201.99,0.63,30.01,16.76,9.11,14340.88,3.1,34.0
36085002700,NY,61.9,387.58,0.51,23.73,15.0,12.43,18476.42,3.19,52.3
36085002900,NY,74.7,202.85,0.45,22.53,13.77,4.04,27280.99,6.72,40.4
36085003300,NY,83.6,399.01,0.72,20.31,13.4,5.55,12316.86,9.45,28.1
36085003600,NY,80.3,290.49,0.59,30.84,13.86,6.59,19457.37,10.2,35.0
36085003900,NY,82.7,488.69,0.2,15.88,11.27,0.43,10469.94,5.51,25.6
36085004000,NY,76.8,498.68,0.46,28.29,12.96,7.74,33256.37,7.4,36.81
36085004700,NY,78.6,408.27,0.47,27.9,14.26,3.61,8414.89,2.45,27.8
36085005000,NY,79.2,224.75,0.63,28.1,16.01,5.45,14889.12,6.52,28.6
36085005900,NY,80.7,786.91,0.74,25.5,14.8,,8782.56,,
36085006400,NY,76.0,284.31,0.75,27.27,17.35,2.09,11712.9,3.8,31.9
36085006700,NY,79.5,247.11,0.45,25.6,15.33,3.3,8078.63,0.85,21.6
36085007000,NY,80.2,241.82,0.46,21.79,14.28,2.13,9918.26,4.12,30.21
36085007400,NY,78.6,247.66,0.74,34.76,16.62,4.19,23762.94,5.66,30.2
36085007500,NY,71.5,192.18,0.29,27.44,14.01,2.91,21726.98,1.38,28.0
36085007700,NY,,254.81,0.52,19.64,14.5,7.77,20518.91,5.67,30.9
36085008100,NY,72.3,161.38,0.49,23.5,14.63,9.77,14888.2,8.04,38.9
36085009601,NY,81.1,480.39,0.61,24.05,15.24,2.24,15327.49,6.86,28.1
36085009602,NY,80.1,291.16,0.78,27.48,16.39,5.81,14157.59,2.76,24.3
36085009700,NY,78.9,339.26,,,,1.74,13900.46,2.83,
36085010500,NY,80.1,286.65,0.65,25.06,15.12,3.25,16731.57,4.73,32.0
36085011201,NY,81.8,521.94,0.7,24.56,15.13,7.69,9221.55,9.1,27.0
36085011202,NY,80.8,129.14,0.62,28.55,15.95,9.33,16787.61,2.48,
36085011401,NY,75.6,377.39,0.7,25.77,15.54,3.99,17125.94,6.31,34.0
36085011402,NY,77.9,195.97,0.67,29.97,15.94,4.11,15232.86,5.22,29.4
36085012100,NY,81.6,401.87,0.52,28.49,15.27,1.85,10960.56,1.98,24.9
36085012200,NY,80.4,260.49,0.73,31.26,15.67,2.68,13562.98,4.73,24.5
36085012500,NY,77.4,193.56,0.56,25.99,14.7,7.73,17413.57,1.63,33.2
36085012804,NY,78.6,281.88,0.52,27.5,15.57,4.51,13836.7,1.46,28.2
36085012805,NY,83.1,356.74,0.52,15.69,11.33,4.09,6041.37,3.83,26.4
36085012806,NY,77.3,288.21,0.54,18.52,13.26,4.65,10966.72,2.55,33.5
36085013201,NY,84.5,409.14,0.4,29.56,14.61,3.75,7986.4,4.92,22.1
36085013203,NY,81.1,455.54,0.63,27.66,15.05,3.63,17610.87,5.62,24.9
36085013204,NY,81.2,456.26,0.62,29.64,14.76,2.3,12390.0,5.43,29.9
36085013301,NY,73.6,206.53,0.4,50.47,14.33,5.31,39847.75,13.44,52.4
36085013302,NY,76.6,212.32,0.68,19.19,16.92,11.08,11142.72,6.34,41.3
36085013400,NY,78.9,258.87,0.7,30.8,16.35,0.89,11267.78,10.09,31.8
36085013800,NY,84.8,298.52,0.59,28.39,15.27,4.08,11558.41,10.66,24.6
36085014100,NY,79.7,230.07,0.52,27.36,15.07,2.77,21960.33,11.07,35.3
36085014604,NY,79.6,518.07,0.67,25.64,14.75,1.21,16056.08,3.27,27.6
36085014605,NY,81.7,414.21,0.5,25.93,14.41,7.12,11293.88,10.71,29.6
36085014606,NY,80.7,750.62,0.6,23.04,13.68,2.9,8946.99,10.83,25.4
36085014607,NY,80.5,414.31,0.65,26.14,15.31,1.64,18666.65,2.73,25.3
36085014608,NY,85.1,142.9,0.45,28.38,14.5,1.85,18681.85,4.07,26.6
36085014700,NY,79.9,396.46,0.66,26.96,16.02,2.44,5355.43,1.36,22.8
36085015100,NY,82.3,318.49,0.69,25.35,15.48,1.33,14589.1,6.12,30.1
36085015400,NY,,977.68,0.0,2.88,3.66,,0.0,,
36085015601,NY,85.2,431.11,0.63,28.27,14.44,0.15,11943.31,3.72,25.2
36085015602,NY,81.1,440.49,0.64,28.58,15.39,3.21,10526.66,6.69,21.7
36085015603,NY,77.8,371.34,0.68,25.53,15.4,3.03,12444.02,5.0,25.2
36085016901,NY,84.1,246.46,0.73,32.59,16.26,5.22,12537.26,6.47,29.9
36085017005,NY,81.1,435.98,0.74,27.98,16.21,2.22,8963.23,2.33,24.6
36085017007,NY,80.0,508.58,0.48,19.43,11.52,3.39,11467.23,2.6,24.2
36085017008,NY,81.5,324.16,0.53,26.45,13.8,1.94,17554.89,5.95,24.43
36085017009,NY,79.3,461.04,0.4,23.65,12.61,1.55,11014.15,2.13,25.3
36085017010,NY,80.9,580.32,0.54,31.26,14.21,3.13,20142.46,4.07,27.76
36085017011,NY,83.3,558.2,0.69,28.05,14.56,3.4,17284.68,2.62,27.5
36085017012,NY,83.3,309.21,0.46,33.12,14.2,0.78,13025.96,3.78,25.1
36085017300,NY,80.7,308.77,0.58,22.85,14.1,3.0,17884.16,7.91,36.0
36085017600,NY,80.1,391.21,0.63,20.18,12.53,1.98,3929.19,4.73,20.5
36085017700,NY,,554.45,0.58,23.54,14.08,2.54,6170.42,3.15,25.71
36085018100,NY,77.2,857.59,0.75,11.32,13.34,6.72,1762.63,6.83,30.1
36085018701,NY,79.9,247.36,0.73,29.79,15.61,2.38,13038.91,3.82,25.3
36085018702,NY,78.5,254.6,0.38,31.5,14.95,1.97,21312.65,2.37,29.65
36085018901,NY,81.9,144.67,0.83,28.16,17.5,2.17,11876.0,2.65,24.9
36085018902,NY,83.4,363.11,0.57,34.52,14.73,0.52,21613.05,12.83,30.0
