FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013112301,AZ,75.9,327.63,0.57,25.36,13.8,27.15,11846.28,10.0,37.8
04013112302,AZ,78.8,445.64,0.19,23.15,10.92,26.09,14676.12,5.79,39.4
04013112401,AZ,79.5,518.14,0.14,22.09,11.25,24.7,12299.48,7.33,36.8
04013112402,AZ,75.4,465.11,0.14,29.09,12.8,32.15,12419.14,2.69,37.6
04013112502,AZ,75.9,475.48,0.32,31.0,13.6,30.08,12246.5,2.72,35.8
04013112503,AZ,75.9,610.59,0.35,24.24,11.98,25.07,9405.83,7.33,41.79
04013112504,AZ,,413.73,0.62,22.0,13.74,25.67,8243.61,9.45,36.0
04013112505,AZ,77.7,393.17,0.35,21.7,10.91,16.9,13739.1,4.67,35.4
04013112507,AZ,75.6,327.89,0.58,23.33,13.32,40.34,6841.79,4.54,38.8
04013112508,AZ,75.5,773.83,0.52,11.42,12.17,29.1,3211.76,7.19,37.5
04013112509,AZ,,299.82,0.38,20.75,13.51,9.44,4379.9,6.76,30.22
04013112510,AZ,,862.34,0.31,11.08,7.17,18.79,1193.81,4.25,29.9
04013112511,AZ,79.7,985.72,0.51,18.18,9.74,16.86,5315.14,6.88,29.5
04013112512,AZ,,209.21,0.57,7.96,13.17,28.06,7898.44,4.72,37.54
04013112513,AZ,,661.33,0.28,19.93,10.16,27.28,3449.89,3.79,29.48
04013112514,AZ,,900.56,0.19,5.27,8.99,11.63,611.91,4.55,26.9
04013112601,AZ,73.5,343.8,0.53,25.18,12.76,22.01,12596.96,7.38,44.6
04013112602,AZ,80.2,486.49,0.41,27.12,12.91,28.73,11987.9,10.53,44.9
04013112700,AZ,77.7,489.62,0.52,24.79,13.94,29.02,7662.09,2.94,42.4
04013112900,AZ,,415.11,0.47,25.04,14.25,18.64,4609.59,4.95,28.9
04013113000,AZ,,468.69,0.75,31.99,17.07,13.73,8212.9,11.13,17.5
04013113100,AZ,,258.41,0.6,28.21,16.58,13.53,11593.02,3.8,25.6
04013113201,AZ,,358.92,0.34,20.52,12.33,17.78,8959.2,5.49,35.6
04013113202,AZ,75.9,228.66,0.58,24.87,16.03,30.59,8216.8,2.84,34.9
04013113300,AZ,75.6,452.13,0.54,28.93,13.55,17.72,5101.84,14.79,49.2
04013113400,AZ,,451.96,0.05,6.46,8.67,,2334.23,,53.2
04013113502,AZ,,358.08,0.52,19.33,13.33,34.84,13038.94,7.57,43.5
04013113601,AZ,,456.26,0.51,16.31,12.56,36.14,7761.65,8.36,30.1
04013113602,AZ,73.4,378.25,0.42,22.53,12.26,20.55,11442.88,10.42,35.6
04013113700,AZ,76.5,549.19,0.58,26.53,12.33,21.09,9598.91,5.95,32.53
04013113900,AZ,,269.57,0.56,23.95,14.17,15.6,1488.65,26.51,47.6
04013114000,AZ,,200.68,0.74,25.58,17.47,17.8,1845.34,3.35,22.8
04013114100,AZ,,197.14,0.69,26.78,16.17,2.77,4090.4,7.15,23.8
04013114200,AZ,75.6,215.92,0.81,26.71,19.17,16.18,1882.0,5.26,37.3
04013114301,AZ,,227.99,0.2,24.3,12.83,10.94,1685.7,1.44,37.2
04013114302,AZ,75.0,334.0,0.42,24.03,15.32,8.78,5377.31,0.63,43.2
04013114401,AZ,73.0,493.53,0.39,20.69,12.67,24.54,3148.41,5.65,43.1
04013114402,AZ,76.2,461.3,0.27,25.87,12.43,15.66,3788.47,3.63,38.6
04013114500,AZ,72.3,512.23,0.34,18.25,12.57,27.98,4304.67,6.18,38.5
04013114600,AZ,75.5,473.42,0.25,10.79,10.67,23.39,1368.53,10.47,42.3
04013114703,AZ,75.9,544.49,0.16,7.66,4.98,,5641.34,,35.24
04013114800,AZ,71.9,640.23,0.48,16.57,12.61,27.27,1495.29,4.38,41.8
